Date,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,day_of_week,month,day_of_month
2018-07-19,-0.004256851745779281,0.0029997583562404876,-0.00693273907425955,0.006610159479518769,-0.000640932363112705,-0.004964707994095847,3,7,19
2018-07-18,-0.011045262222267115,0.0006743580185206673,0.0029997583562404876,-0.00693273907425955,0.006610159479518769,-0.000640932363112705,2,7,18
2018-07-17,0.008579294408523149,-0.0010012858700193716,0.0006743580185206673,0.0029997583562404876,-0.00693273907425955,0.006610159479518769,1,7,17
2018-07-16,0.011451914873010295,-0.0065283212996179885,-0.0010012858700193716,0.0006743580185206673,0.0029997583562404876,-0.00693273907425955,0,7,16
2018-07-13,-0.0057815924189558165,-0.0033992774467702597,-0.0065283212996179885,-0.0010012858700193716,0.0006743580185206673,0.0029997583562404876,4,7,13
2018-07-12,-0.006307647162355444,0.008048623219404924,-0.0033992774467702597,-0.0065283212996179885,-0.0010012858700193716,0.0006743580185206673,3,7,12
2018-07-11,-0.0024886182028862995,-0.0013765903487765927,0.008048623219404924,-0.0033992774467702597,-0.0065283212996179885,-0.0010012858700193716,2,7,11
2018-07-10,-0.01292106534669418,-0.007789696346507206,-0.0013765903487765927,0.008048623219404924,-0.0033992774467702597,-0.0065283212996179885,1,7,10
2018-07-09,-0.018396616443891362,0.013096235331172275,-0.007789696346507206,-0.0013765903487765927,0.008048623219404924,-0.0033992774467702597,0,7,9
2018-07-06,0.002521203095222066,-0.000526656982283114,0.013096235331172275,-0.007789696346507206,-0.0013765903487765927,0.008048623219404924,4,7,6
2018-07-05,0.0016308726021505046,-0.009184884072561185,-0.000526656982283114,0.013096235331172275,-0.007789696346507206,-0.0013765903487765927,3,7,5
2018-07-04,0.0063969554978877624,-0.0019026450921762203,-0.009184884072561185,-0.000526656982283114,0.013096235331172275,-0.007789696346507206,2,7,4
2018-07-03,-0.00731868068036718,-0.003970667387038061,-0.0019026450921762203,-0.009184884072561185,-0.000526656982283114,0.013096235331172275,1,7,3
